ID,vendor,orderQuantity,amount,currency,dueDate,status,notes
11111111-1111-1111-1111-111111111001,Acme Industrial Supplies GmbH,500,12500.00,EUR,2026-07-15,OPEN,
11111111-1111-1111-1111-111111111002,Nordic Office Solutions AB,200,4800.00,EUR,2026-08-01,OPEN,
11111111-1111-1111-1111-111111111003,Iberian Logistics S.L.,1000,31000.00,EUR,2026-09-10,OPEN,
11111111-1111-1111-1111-111111111004,Alpine Precision Parts AG,150,9750.00,EUR,2026-06-30,OPEN,
11111111-1111-1111-1111-111111111005,Baltic Freight Carriers OÜ,300,6600.00,EUR,2026-05-20,OPEN,
11111111-1111-1111-1111-111111111006,Adriatica Chemicals s.r.l.,80,22400.00,EUR,2026-04-30,OPEN,
11111111-1111-1111-1111-111111111007,Benelux Tech Components BV,60,18000.00,EUR,2026-07-01,OPEN,
11111111-1111-1111-1111-111111111008,Hanseatic Trading GmbH,400,8800.00,EUR,2026-07-20,OPEN,
11111111-1111-1111-1111-111111111009,Levantine Textiles Ltd.,250,11250.00,EUR,2026-09-15,OPEN,
11111111-1111-1111-1111-111111111010,Caledonian Engineering Ltd.,120,36000.00,EUR,2026-09-28,OPEN,"Partial delivery agreed with vendor on 2026-05-12. First shipment of 90 units at £270/unit; remaining 30 units deferred to Q3 pending regulatory clearance. Invoice reflects first shipment only."
